uid,prediction
u000009,"i000481,i001952,i001069,i001922,i001663,i000661,i000695,i001455,i001445,i000909"
u000014,"i000832,i001069,i000931,i000652,i000999,i000720,i001455,i000947,i001952,i001267"
u000022,"i001151,i000481,i001922,i001663,i000282,i001682,i001049,i001952,i001515,i000695"
u000024,"i000481,i001952,i001069,i001455,i000661,i001663,i000207,i000909,i001046,i001038"
u000026,"i000909,i000481,i001069,i001952,i000521,i001663,i000661,i000342,i000207,i001922"
u000040,"i001914,i001649,i000909,i001087,i000481,i001069,i001455,i001922,i001673,i001952"
u000054,"i000661,i001952,i000481,i001069,i001663,i001455,i000909,i001445,i000521,i000947"
u000059,"i000481,i000909,i001952,i001455,i000695,i001922,i001069,i000661,i000324,i001673"
u000067,"i001673,i001455,i000481,i000554,i000661,i001875,i001952,i001710,i000909,i001445"
u000068,"i000481,i001069,i001952,i000661,i000695,i000521,i001663,i001922,i000909,i001455"
u000077,"i001038,i000481,i001952,i001069,i001478,i000661,i000909,i000646,i001663,i000207"
u000088,"i000481,i000909,i001069,i001952,i000661,i001455,i001663,i000521,i001922,i000324"
u000092,"i001952,i000481,i001922,i001069,i000909,i000555,i001663,i001455,i000661,i001515"
u000102,"i000481,i001069,i000909,i001952,i000521,i000661,i000342,i001663,i000947,i001922"
u000117,"i000481,i001952,i001069,i000661,i000909,i001663,i001922,i000521,i000695,i000324"
u000132,"i000481,i001663,i001069,i000909,i001952,i001445,i001949,i000342,i001038,i000521"
u000135,"i000909,i000481,i001478,i001069,i000521,i001663,i000342,i001952,i000661,i001922"
u000155,"i000481,i001069,i000909,i000521,i001952,i001663,i000342,i000947,i000661,i000695"
u000159,"i000481,i001046,i001952,i000909,i001069,i001663,i000661,i001038,i000521,i001478"
u000160,"i001069,i000481,i000909,i001663,i001952,i000661,i000695,i001914,i000947,i000521"
u000162,"i000481,i000977,i001922,i000909,i000521,i001952,i001335,i000342,i000661,i001663"
u000164,"i001949,i000481,i001240,i000956,i000554,i001069,i001717,i001922,i001191,i001663"
u000168,"i001069,i000481,i001952,i001663,i000909,i000661,i000521,i000947,i001922,i000342"
u000171,"i000909,i000481,i000521,i000555,i001069,i001952,i000342,i001663,i000324,i001922"
u000178,"i000898,i000909,i000324,i000555,i000481,i000327,i001069,i000110,i001952,i000342"
u000180,"i000481,i001952,i000521,i001663,i001069,i000909,i000661,i000342,i001922,i000554"
u000192,"i000555,i000324,i000898,i000909,i000110,i000481,i000327,i000521,i001952,i000342"
u000194,"i000251,i001069,i000058,i000481,i000931,i000220,i001952,i000947,i001663,i000909"
