test_idx,label
0,4
3,4
6,4
9,4
11,4
13,4
14,4
30,4
33,4
35,4
37,4
45,4
46,4
50,4
52,4
53,4
54,4
67,4
71,4
76,4
80,4
87,4
88,4
89,4
98,4
102,4
111,4
117,4
124,4
128,4
130,4
141,4
152,4
153,4
160,4
161,4
165,4
167,4
177,4
181,4
187,4
188,4
195,4
196,4
200,4
214,4
215,4
216,4
220,4
228,4
230,4
233,4
242,4
248,4
249,4
252,4
254,4
265,4
267,4
274,4
278,4
280,4
289,4
294,4
301,4
305,4
309,4
310,4
316,4
317,4
323,4
325,4
329,4
336,4
337,4
340,4
348,4
367,4
370,4
382,4
384,4
393,4
407,4
408,4
417,4
418,4
419,4
425,4
430,4
433,4
442,4
446,4
447,4
450,4
451,4
452,4
456,4
466,4
468,4
472,4
473,4
478,4
479,4
498,4
503,4
509,4
516,4
526,4
533,4
539,4
543,4
547,4
554,4
557,4
559,4
570,4
571,4
580,4
590,4
592,4
595,4
597,4
606,4
623,4
628,4
634,4
638,4
639,4
642,4
650,4
653,4
657,4
660,4
662,4
663,4
668,4
674,4
687,4
692,4
693,4
707,4
708,4
725,4
726,4
743,4
747,4
749,4
750,4
751,4
763,4
774,4
780,4
781,4
782,4
786,4
789,4
822,4
830,4
835,4
837,4
843,4
851,4
857,4
860,4
863,4
869,4
879,4
881,4
887,4
891,4
901,4
905,4
906,4
910,4
912,4
922,4
923,4
924,4
925,4
928,4
936,4
953,4
962,4
970,4
982,4
983,4
986,4
995,4
999,4
1006,4
1008,4
1009,4
1016,4
1017,4
1020,4
1034,4
1036,4
1043,4
1047,4
1050,4
1053,4
1056,4
1058,4
1061,4
1062,4
1064,4
1076,4
1077,4
1078,4
1079,4
1080,4
1081,4
1082,4
1094,4
1103,4
1129,4
1131,4
1132,4
1136,4
1138,4
1139,4
1149,4
1151,4
1155,4
1158,4
1161,4
1162,4
1164,4
1165,4
1171,4
1178,4
1182,4
1186,4
1196,4
1198,4
1208,4
1212,4
1213,4
1218,4
1221,4
