uid,prediction
u000009,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000014,"i001445,i001673,i001455,i001143,i000554,i001710,i000909,i000110,i000324,i001069"
u000022,"i001151,i000555,i000282,i000360,i001786,i001914,i001240,i001515,i000324,i002056"
u000024,"i000481,i001952,i001663,i001038,i000207,i001069,i001478,i000909,i000661,i000158"
u000026,"i000909,i000481,i001069,i000342,i000521,i001713,i001038,i000207,i000619,i000158"
u000040,"i001922,i001753,i001914,i001508,i001682,i001649,i000521,i001335,i000555,i000342"
u000054,"i001952,i000661,i000248,i002146,i000253,i000158,i001296,i001046,i001038,i000342"
u000059,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000067,"i001914,i000931,i001455,i001445,i001786,i000282,i001151,i000251,i001875,i001673"
u000068,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000077,"i001038,i000481,i001952,i000207,i000158,i000661,i000248,i001478,i001046,i002146"
u000088,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000092,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000102,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000117,"i000481,i000909,i001445,i001663,i001069,i000342,i001952,i000521,i000554,i000661"
u000132,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000135,"i000909,i000481,i001478,i001663,i000646,i001069,i000521,i000342,i001038,i000619"
u000155,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000159,"i000481,i001046,i001663,i001952,i001445,i001478,i001038,i000207,i000909,i001069"
u000160,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000162,"i001753,i001508,i000518,i001711,i001875,i001906,i001952,i000220,i001717,i001673"
u000164,"i001949,i000554,i001445,i001455,i000481,i000909,i001710,i001673,i001069,i000695"
u000168,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000171,"i001952,i000661,i000909,i001445,i001673,i001710,i001046,i001002,i000947,i001296"
u000178,"i000324,i000555,i000110,i000898,i000327,i000909,i000342,i001516,i000521,i000720"
u000180,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000192,"i000555,i000324,i000898,i000110,i000327,i000909,i000342,i000521,i001445,i001143"
u000194,"i000251,i001914,i001240,i001663,i002056,i000282,i000931,i001875,i001455,i000554"
u000205,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000212,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000214,"i000555,i001151,i000324,i000898,i000110,i000282,i001753,i000909,i000327,i001508"
u000224,"i000695,i001584,i001049,i000058,i001688,i001462,i001240,i000401,i001922,i002009"
u000225,"i001753,i001151,i001445,i001922,i001515,i000282,i001508,i001335,i001682,i001914"
u000227,"i000481,i001069,i000909,i001952,i001922,i001663,i000521,i000695,i000661,i001240"
u000229,"i001922,i001515,i001151,i001663,i001240,i002056,i001445,i000554,i000282,i001335"
u000231,"i000481,i000909,i000342,i000521,i001069,i000661,i001952,i001663,i000207,i000554"
u000233,"i001922,i001753,i000898,i000555,i000977,i000327,i001508,i001682,i000342,i000324"
u000234,"i000555,i000324,i000110,i000898,i000327,i000877,i000977,i001151,i001134,i001922"
u000243,"i001922,i002056,i001049,i001240,i002009,i001682,i001335,i001151,i001584,i001445"
